chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,xiaoqumingcheng,bd_lat,bd_lon,wgs_lat,wgs_lon,gcj_lon,gcj_lat,amaplonlat
宜昌,伍家岗,1700,87㎡,2室1厅1卫,南,精装修,中层/共11层,金峡小区,30.647890913931505,111.3697220079027,30.64388656053382,111.35743843959374,111.36329696297975,30.641557256898967,"111.36329696297975,30.641557256898967"
宜昌,伍家岗,1500,75㎡,3室2厅1卫,南北,精装修,低层/共12层,民益家园,30.676252237417607,111.34258168319082,30.6725135006197,111.33032988412947,111.33612035060827,30.670150381846017,"111.33612035060827,30.670150381846017"
宜昌,伍家岗,1200,70㎡,2室2厅1卫,南,简单装修,低层/共32层,中南二号,30.672676418538376,111.3315866348505,30.669148944810924,111.31931119952208,111.32506983082177,30.666763212658708,"111.32506983082177,30.666763212658708"
宜昌,伍家岗,600,25㎡,1室0厅1卫,南,简单装修,低层/共27层,兴发广场,30.685558849745693,111.33766202323487,30.681911291890266,111.32540683922075,111.33118409069547,30.67954307989034,"111.33118409069547,30.67954307989034"
宜昌,伍家岗,800,90㎡,2室1厅1卫,南,简单装修,高层/共6层,城东花园,30.680368813012283,111.35444245999183,30.6764422797733,111.34220633720545,111.34802992091426,30.674102788362024,"111.34802992091426,30.674102788362024"
宜昌,西陵,2200,99㎡,3室1厅1卫,南,暂无信息,高层/共8层,东方花苑,30.71630941488852,111.29588192379636,30.713021907363387,111.28364558681905,111.28931303596816,30.71059558535571,"111.28931303596816,30.71059558535571"
宜昌,伍家岗,2300,100㎡,3室2厅1卫,南,精装修,低层/共33层,城中半岛,30.63760590286186,111.37178703260902,30.633610003976248,111.35949400404549,111.3653562125407,30.631279241547286,"111.3653562125407,30.631279241547286"
宜昌,伍家岗,2800,110㎡,4室1厅1卫,南,暂无信息,中层/共11层,江山多娇(三期),30.648698160689513,111.35714582059354,30.644748085233346,111.34488390167944,111.35071176498292,30.64239920539259,"111.35071176498292,30.64239920539259"
宜昌,伍家岗,2000,86㎡,3室2厅1卫,南,豪华装修,高层/共28层,东郡A区,30.645013881771778,111.3682869648505,30.641009154981052,111.35600631248606,111.36186130400758,30.63867653217287,"111.36186130400758,30.63867653217287"
宜昌,伍家岗,1500,54㎡,1室1厅1卫,南,精装修,中层/共28层,香山福久源,30.658230893704093,111.36979737573496,30.654224374946928,111.3575207154925,111.36338033528381,30.651899670643243,"111.36338033528381,30.651899670643243"
宜昌,伍家岗,2000,114㎡,3室2厅2卫,南北,精装修,低层/共33层,宜化新天地,30.664192903049162,111.35554504017476,30.66025668140858,111.34329541895701,111.34912047233851,30.657911817581795,"111.34912047233851,30.657911817581795"
宜昌,伍家岗,2000,86㎡,2室2厅1卫,东,精装修,低层/共28层,东郡A区,30.645013881771778,111.3682869648505,30.641009154981052,111.35600631248606,111.36186130400758,30.63867653217287,"111.36186130400758,30.63867653217287"
宜昌,伍家岗,800,23㎡,1室0厅1卫,南北,简单装修,中层/共32层,山水华庭,30.655013837398315,111.35734596306116,30.651060339095924,111.3450881090439,111.3509170582451,30.648714539679894,"111.3509170582451,30.648714539679894"
宜昌,伍家岗,1800,88㎡,3室2厅1卫,东南,精装修,低层/共32层,中建宜城春晓,30.667034568428033,111.38908138994822,30.66320708791452,111.37672019428668,111.38261727184738,30.66090829975478,"111.38261727184738,30.66090829975478"
宜昌,伍家岗,1800,94㎡,3室2厅1卫,南,精装修,低层/共32层,山水华庭,30.655013837398315,111.35734596306116,30.651060339095924,111.3450881090439,111.3509170582451,30.648714539679894,"111.3509170582451,30.648714539679894"
宜昌,伍家岗,1000,30㎡,1室0厅1卫,北,精装修,高层/共12层,香山福久源,30.658230893704093,111.36979737573496,30.654224374946928,111.3575207154925,111.36338033528381,30.651899670643243,"111.36338033528381,30.651899670643243"
