zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
38,1,122,3,2,1,2,2,3,39,318,5,614,1,0,1,35,6,66,10,3
68,1,137,3,2,2,2,3,2,138,1239,0,913,0,0,1,787,1,434,3,0
65,1,112,3,2,2,2,3,1,127,338,7,132,2,0,0,388,5,184,8,3
53,1,98,2,2,1,2,3,3,230,873,1,1311,0,0,1,405,2,197,10,0
48,1,135,3,2,2,2,3,3,246,1046,0,1268,0,0,0,686,1,414,10,0
48,1,126,3,2,2,2,3,1,246,1046,0,1268,0,0,0,686,1,414,10,0
48,1,100,2,2,2,2,3,2,102,1233,0,772,1,0,1,253,6,224,5,0
52,1,108,3,2,2,2,3,1,456,962,0,645,1,0,0,1177,0,453,4,0
59,1,128,3,2,2,2,1,1,6,264,4,213,2,0,2,302,7,219,16,3
56,1,117,3,2,2,2,3,3,138,1239,0,913,0,0,1,787,1,434,3,0
25,1,57,1,1,1,2,3,1,230,873,1,1311,0,0,1,405,2,197,10,0
75,1,120,4,2,2,2,3,3,300,814,1,498,1,0,0,926,0,592,6,3
25,1,60,2,1,1,2,3,1,89,217,4,401,2,0,2,377,6,384,8,3
46,1,89,2,2,1,2,1,3,113,291,1,663,1,0,0,886,1,275,3,0
45,1,99,3,2,1,2,3,2,260,603,2,902,0,0,1,924,0,185,2,0
31,1,100,2,2,1,2,3,3,246,1046,0,1268,0,0,0,686,1,414,10,0
42,1,92,2,2,1,2,3,2,597,1066,0,795,1,0,0,1317,0,585,2,0
28,1,90,2,2,1,2,2,3,11,460,3,158,1,0,2,109,6,384,12,3
22,1,77,2,1,1,2,3,3,170,582,1,1104,0,0,1,433,5,190,14,3
51,1,100,2,2,1,2,3,2,219,742,5,386,1,0,0,760,3,728,8,3
66,1,117,4,2,2,2,2,3,300,814,1,498,1,0,0,926,0,592,6,3
52,1,121,3,2,1,2,3,1,221,1069,0,1015,0,0,1,579,5,291,10,0
25,1,57,1,1,1,2,3,1,230,873,1,1311,0,0,1,405,2,197,10,0
80,1,125,6,2,3,2,1,3,457,783,1,655,1,0,0,1091,0,563,5,0
47,1,84,2,2,1,2,3,3,681,915,0,1381,0,0,0,905,0,1317,0,0
66,1,124,4,2,2,2,3,2,76,456,3,580,1,0,1,296,6,296,4,0
58,1,98,2,2,1,2,3,2,219,742,5,386,1,0,0,760,3,728,8,3
42,1,92,2,2,1,2,1,2,102,1233,0,772,1,0,1,253,6,224,5,0
42,1,85,2,2,1,2,3,2,556,807,1,836,1,0,0,1115,0,722,4,0
52,1,89,2,2,1,2,3,1,113,291,1,663,1,0,0,886,1,275,3,0
70,1,135,4,2,2,2,3,2,136,1242,0,366,1,0,1,483,3,857,1,0
43,1,99,2,2,1,2,2,2,331,1418,0,1105,0,0,1,482,2,364,3,0
46,1,94,2,2,1,2,3,3,102,1233,0,772,1,0,1,253,6,224,5,0
