zongjia,quwei,mianji,shi,ting,wei,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
1600,2,93,3,2,1,2,2,1,318,1374,0,1424,0,0,1,560,1,985,0,0
2000,2,127,3,2,2,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
1600,2,70,2,1,1,1,4,3,213,451,1,640,1,0,0,226,2,347,4,0
4000,2,380,5,3,3,2,3,1,318,1374,0,1424,0,0,1,560,1,985,0,0
1480,2,65,1,1,1,2,3,1,327,1152,0,1183,0,0,1,343,2,763,1,0
2000,2,89,2,2,1,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
1500,2,70,3,2,2,2,3,3,760,1393,0,1772,0,0,1,909,0,1004,0,0
1400,2,70,2,1,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
1500,2,63,2,2,1,1,3,1,327,1152,0,1183,0,0,1,343,2,763,1,0
1400,2,120,3,2,1,2,2,1,178,1773,0,1614,0,0,1,798,1,1223,0,0
700,2,25,1,0,1,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
1500,2,75,3,2,1,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
3000,2,105,3,2,1,2,2,1,369,1026,0,1612,0,0,0,445,3,469,4,1
2200,2,150,6,2,2,2,3,1,760,1393,0,1772,0,0,1,909,0,1004,0,0
550,2,24,1,1,1,2,2,1,113,432,2,298,1,0,2,641,4,456,5,1
900,2,65,2,1,1,2,2,2,207,664,1,849,1,0,1,274,3,274,3,0
1500,2,96,3,2,1,2,3,2,478,1131,0,1317,0,0,1,476,2,742,1,0
1500,2,75,2,1,1,2,3,3,76,343,1,534,1,0,1,67,4,262,5,0
1000,2,38,1,1,1,2,3,1,318,1374,0,1424,0,0,1,560,1,985,0,0
2300,2,124,3,2,1,2,1,2,213,451,1,640,1,0,0,226,2,347,4,0
8500,2,480,6,1,1,2,3,1,327,583,1,1274,0,0,0,414,3,477,2,1
1600,2,102,3,2,2,2,2,3,478,1131,0,1317,0,0,1,476,2,742,1,0
2100,2,120,3,2,2,2,3,2,178,1773,0,1614,0,0,1,798,1,1223,0,0
2000,2,116,3,2,2,2,2,1,207,664,1,849,1,0,1,274,3,274,3,0
7000,2,300,5,3,4,2,3,1,327,583,1,1274,0,0,0,414,3,477,2,1
700,2,25,1,0,1,2,3,3,653,1863,0,416,1,0,0,714,2,807,2,0
2200,2,88,2,2,1,2,3,2,653,1863,0,416,1,0,0,714,2,807,2,0
2000,2,97,3,2,1,2,3,1,653,1863,0,416,1,0,0,714,2,807,2,0
800,2,60,1,1,1,2,3,3,113,432,2,298,1,0,2,641,4,456,5,1
