chengshi,yijiquyu,fangzu,mianji,huxing,chaoxiang,zhuangxiu,louceng,min_time_gongjiao,min_time_zhongxue,count_zhongxue,min_time_xiaoxue,count_xiaoxue,count_gaoxiao,count_yiyuan,min_time_jingdian,count_jingdian,min_time_kaifang,count_kaifang,count_xiuxian
宜昌,伍家岗,1600,84㎡,2室2厅1卫,南,简单装修,中层/共31层,448,1509,0,1812,0,0,0,829,1,2131,0,0
宜昌,伍家岗,2200,150㎡,6室2厅2卫,南北,精装修,共5层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1600,70㎡,2室2厅1卫,南,精装修,高层/共7层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,1600,90㎡,3室2厅1卫,南北,简单装修,低层/共6层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1600,70㎡,2室1厅1卫,南,精装修,中层/共7层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,1400,75㎡,2室2厅1卫,南北,简单装修,高层/共7层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,1400,80㎡,2室2厅1卫,南北,简单装修,中层/共7层,111,765,1,1354,0,0,0,237,3,211,3,1
宜昌,伍家岗,1600,70㎡,2室1厅1卫,南,简单装修,高层/共11层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1500,70㎡,3室2厅2卫,南,精装修,高层/共11层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1600,86㎡,2室2厅1卫,南北,精装修,中层/共6层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,2000,110㎡,3室2厅1卫,南,精装修,高层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2000,105㎡,3室2厅1卫,南北,精装修,中层/共33层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2500,115㎡,3室2厅2卫,南北,精装修,中层/共6层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,2500,120㎡,3室2厅2卫,东,精装修,中层/共7层,178,1773,0,1614,0,0,1,798,1,1223,0,0
宜昌,伍家岗,1000,70㎡,2室2厅1卫,南,精装修,中层/共8层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,600,88㎡,2室2厅1卫,南,毛坯,中层/共32层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,8500,480㎡,6室1厅1卫,南,精装修,共3层,327,583,1,1274,0,0,0,414,3,477,2,1
宜昌,伍家岗,1200,80㎡,2室2厅1卫,南北,精装修,低层/共7层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,1500,75㎡,2室2厅1卫,南,豪华装修,中层/共8层,166,782,5,605,2,3,4,624,7,288,6,1
宜昌,伍家岗,1600,93.24㎡,3室2厅2卫,南北,简单装修,低层/共6层,478,1131,0,1317,0,0,1,476,2,742,1,0
宜昌,伍家岗,1700,88㎡,3室2厅1卫,南,简单装修,共5层,653,1863,0,416,1,0,0,714,2,807,2,0
宜昌,伍家岗,2000,100㎡,4室2厅2卫,南北,精装修,低层/共6层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,1600,83㎡,2室2厅1卫,南,精装修,高层/共6层,207,664,1,849,1,0,1,274,3,274,3,0
宜昌,伍家岗,2500,98㎡,3室2厅1卫,南,豪华装修,中层/共28层,318,1374,0,1424,0,0,1,560,1,985,0,0
宜昌,伍家岗,2300,125㎡,3室2厅1卫,南北,精装修,中层/共7层,213,451,1,640,1,0,0,226,2,347,4,0
宜昌,伍家岗,2000,100㎡,4室2厅2卫,南,精装修,高层/共6层,760,1393,0,1772,0,0,1,909,0,1004,0,0
宜昌,伍家岗,2400,108㎡,3室2厅1卫,南,精装修,低层/共30层,653,1863,0,416,1,0,0,714,2,807,2,0
